year,physical_events,reported_events,ratio
2015,8943,86,0.009616459800961647
2016,10954,73,0.006664232243929158
2017,8391,78,0.009295673936360386
2018,9043,69,0.007630211213093
2019,10080,115,0.011408730158730158
2020,10505,83,0.007900999524036173
2021,9901,105,0.010604989395010605
2022,9359,125,0.013356127791430708
2023,11431,184,0.01609657947686117
2024,12400,215,0.017338709677419354
