latitude,longitude,cmip5_prAdjust_2021_mm_year,cmip5_prAdjust_2022_mm_year,cmip5_prAdjust_2023_mm_year,cmip5_prAdjust_2024_mm_year,cmip5_prAdjust_2025_mm_year,cmip5_prAdjust_2026_mm_year,cmip5_prAdjust_2027_mm_year,cmip5_prAdjust_2028_mm_year,cmip5_prAdjust_2029_mm_year,cmip5_prAdjust_2030_mm_year,cmip5_prAdjust_2031_mm_year,cmip5_prAdjust_2032_mm_year,cmip5_prAdjust_2033_mm_year,cmip5_prAdjust_2034_mm_year,cmip5_prAdjust_2035_mm_year,cmip5_prAdjust_2036_mm_year,cmip5_prAdjust_2037_mm_year,cmip5_prAdjust_2038_mm_year,cmip5_prAdjust_2039_mm_year,cmip5_prAdjust_2040_mm_year,cmip5_prAdjust_2041_mm_year,cmip5_prAdjust_2042_mm_year,cmip5_prAdjust_2043_mm_year,cmip5_prAdjust_2044_mm_year,cmip5_prAdjust_2045_mm_year,cmip5_prAdjust_2046_mm_year,cmip5_prAdjust_2047_mm_year,cmip5_prAdjust_2048_mm_year,cmip5_prAdjust_2049_mm_year,cmip5_prAdjust_2050_mm_year
13.25,37.25,2847.96,2609.44,3227.35,1988.09,2643.91,2265.61,3435.67,4387.03,2828.49,3495.53,3331.82,3555.89,2756.09,2672.99,2285.32,2492.29,2917.67,3020.92,2907.08,3374.56,2783.70,3287.49,3432.72,3757.08,3053.54,2372.03,2946.87,2695.23,2892.63,3204.22
13.25,39.25,775.32,619.01,750.74,395.97,654.46,657.64,611.02,912.53,520.92,966.34,719.49,598.82,630.02,636.11,469.61,438.43,688.37,764.57,494.97,964.03,560.76,853.21,711.69,816.52,553.86,499.68,774.52,893.55,378.41,560.47
13.25,41.25,497.34,334.36,726.32,596.49,117.75,401.49,257.62,1099.64,262.57,529.30,45.92,640.02,189.97,297.52,429.10,97.68,717.63,512.57,1460.59,108.28,344.16,348.20,99.67,128.92,52.06,31.68,171.87,383.37,92.50,332.09
13.25,45.25,61.04,152.97,208.20,135.93,167.22,16.97,115.63,128.94,116.20,180.18,8.11,297.66,62.59,42.59,119.11,45.78,63.11,73.12,104.54,55.92,122.67,235.92,32.17,64.65,35.59,71.64,13.81,71.48,85.50,186.82
13.25,75.25,2895.84,4000.16,3528.78,3555.22,4713.10,2712.77,2479.63,2981.49,4585.32,3443.01,2834.74,3977.99,2296.08,3258.90,3280.32,3017.02,3199.17,3133.90,3246.99,2874.99,3212.70,4192.29,2751.44,4222.50,2125.55,3735.02,3043.83,2554.00,2637.58,2856.61
13.25,77.25,736.69,1134.48,1092.88,724.83,1611.03,542.18,645.11,710.49,1710.26,736.82,844.59,1005.57,602.64,604.32,510.62,851.48,923.02,852.09,1000.83,599.84,828.46,1206.13,778.69,1036.22,453.41,1251.67,1184.02,813.80,576.53,357.68
13.25,79.25,978.72,1359.42,1464.88,906.20,2029.40,1000.16,772.16,793.37,2036.40,1426.98,690.92,1540.74,710.44,956.53,743.93,1004.17,1420.42,1249.66,1324.80,589.40,922.93,1769.77,951.13,1322.96,465.40,2069.65,1253.21,960.92,538.13,563.61
13.25,99.25,3208.97,3402.37,3537.75,4071.05,3946.67,4434.13,5400.19,3797.75,4315.56,2952.85,2985.99,3486.39,2931.94,4720.03,5519.93,4028.86,3466.10,4651.31,4341.44,3837.03,4172.11,4103.07,3551.35,4791.34,3786.54,3598.70,4841.47,3886.34,3957.22,2895.57
13.25,101.25,1226.17,1423.25,1451.70,1367.64,1654.44,1940.28,2191.57,1504.45,1812.60,1063.76,1120.78,1427.01,1052.08,1786.31,2169.58,1508.20,1516.51,1634.74,1584.74,1517.43,1696.35,1378.79,1473.07,1934.70,1421.32,1374.22,1884.57,1390.23,1737.13,1210.36
13.25,103.25,2182.32,2707.89,2243.11,2710.54,2693.87,2930.81,3414.00,2405.36,2436.59,1772.30,1759.67,2695.83,1494.15,3236.60,3454.83,2280.12,2852.67,2685.59,2345.06,2091.83,2594.51,2291.43,2544.45,3090.73,1805.50,2410.85,3083.30,2320.12,2982.77,2335.65
